Summit or Place,Latitude,Longitude
Carrauntoohil,51.99945,-9.74271
Beenkeragh,52.0068,-9.74625
Caher,51.99445,-9.75856
Knocknapeasta,51.99815,-9.69552
Caher West Top,51.99541,-9.76254
Maolán Buí,51.99461,-9.70102
The Bones Peak,52.00171,-9.74706
Cnoc an Chuillinn,51.99014,-9.71353
Brandon,52.23511,-10.2544
The Big Gun,52.00095,-9.6888
Cruach Mhór,52.00382,-9.6888
Lugnaquilla,52.96696,-6.46451
Cnoc an Chuillinn East Top,51.99108,-9.70686
Galtymore,52.36598,-8.17915
Brandon North Top,52.24354,-10.2538
Knockbrinnea West Top,52.01209,-9.73715
Stumpa Bharr na hAbhann,52.01179,-9.75264
Baurtregaum,52.20705,-9.82948
Slieve Donard,54.18024,-5.92085
Mullaghcleevaun,53.10363,-6.40669
Skregmore,52.01369,-9.76001
Knockbrinnea East Top,52.01142,-9.73359
Cnoc na Toinne,51.99043,-9.73134
Brandon Far North Top,52.24637,-10.2563
Brandon Peak,52.21636,-10.2364
Mangerton,51.97028,-9.48443
Caherconree,52.20303,-9.85373
Purple Mtn,52.00792,-9.62249
Beenoskee,52.21386,-10.0774
Lyracappul,52.36041,-8.22735
Carrignabinnia,52.36481,-8.22084
Benagh,52.23826,-10.2418
Tonelagee,53.05423,-6.38257
Mweelrea,53.63726,-9.83035
Faha Ridge,52.23922,-10.2488
Nephin,54.0133,-9.36834
Gearhane,52.21006,-10.2416
Ben Lugmore,53.64287,-9.79748
Greenane,52.3674,-8.11075
Cloghernagh,52.96756,-6.42573
Galtybeg,52.36871,-8.16254
Stradbally Mtn,52.21644,-10.0677
Ben Bury,53.65084,-9.81187
Mullaghcleevaun East Top,53.10015,-6.38482
Mount Leinster,52.61815,-6.78034
Corrigasleggaun,52.9607,-6.44144
Knockmealdown,52.22789,-7.91589
Gearhane,52.21197,-9.8541
Kilclooney Mtn,52.24587,-7.53677
Ben Lugmore West Top,53.64542,-9.80648
Ben Lugmore East Top,53.64134,-9.79195
Brandon South Top,52.22724,-10.2423
Greenane West,52.36787,-8.12914
Stumpa Dúloigh,51.95382,-9.76519
Temple Hill,52.34833,-8.24529
Mangerton North Top,51.98013,-9.47847
Stumpa Dúloigh SE Top,51.95185,-9.76015
Slievecushnabinnia,52.36782,-8.20973
Mullaghanattin,51.93384,-9.83455
Barrclashcame,53.66289,-9.74117
Coomacarrea,51.97798,-10.0218
Knockmoylan,52.23614,-7.91592
Carrignagower,52.26028,-7.54467
Slieve Commedagh,54.18887,-5.93859
Croagh Patrick,53.76003,-9.65977
Shehy Mtn,52.01302,-9.60027
Tievummera,53.66259,-9.7232
Masatiompan,52.26167,-10.2485
Teeromoyle Mtn,51.98461,-10.033
Slievemaan,52.95882,-6.48654
Camenabologue,53.00518,-6.4765
Purple Mtn NE Top,52.01411,-9.61112
Kippure,53.17814,-6.33185
Knockanaffrin,52.28901,-7.58219
Beann,51.92622,-9.85281
Errigal,55.03435,-8.11296
Cnoc Íochtair,52.013,-9.77053
Slieve Binnian,54.14193,-5.98003
Pierasmore,52.25357,-10.2503
Broaghnabinnia,51.97216,-9.74456
Tievnabinnia,53.6738,-9.69409
Coumfea,52.23899,-7.56862
Slieve Bearnagh,54.1845,-5.98927
Tomies Mtn,52.02241,-9.6105
Conavalla,53.01529,-6.45157
Blackstairs Mtn,52.54921,-6.8058
Cnoc an Bhráca,52.0098,-9.66321
Benbaun,53.52125,-9.83175
Coumfea North Top,52.2475,-7.56738
Seefin,52.21299,-7.5996
Djouce,53.13048,-6.2393
Knockaunapeebra,52.23773,-7.54403
Baurtregaum NW Top,52.21322,-9.83357
Seefingan,53.19244,-6.37491
Slieve Carr,54.06826,-9.65815
Slievenamon,52.42768,-7.56181
Duff Hill,53.11396,-6.36721
Gravale,53.12416,-6.35026
Corranabinnia,53.96625,-9.67216
Meenteog,51.9798,-9.98311
Stoney Top,53.06428,-6.38602
Coumfea West Top,52.23688,-7.58924
Bencorr,53.50655,-9.79181
Knockboy,51.80252,-9.44345
Stoompa,51.97974,-9.44669
Moanbane,53.10284,-6.45794
Slievelamagan,54.16612,-5.96611
Binn idir an dá Log,53.51386,-9.67674
Slieve Meelbeg,54.18373,-6.00831
Table Mtn,53.01692,-6.48149
Ben Gorm,53.6248,-9.72031
Camaderry Mtn,53.02282,-6.38893
Silsean,53.09192,-6.47348
Birreencorragh,53.98521,-9.48773
Bencollaghduff,53.51335,-9.81296
The Paps East,52.01564,-9.26322
Keeper Hill,52.75142,-8.26142
Ben Creggan,53.63695,-9.72854
Beann NE Top,51.93209,-9.8459
Caoinkeen,51.82505,-9.43605
Knockaterriff,52.3466,-8.22323
Benbreen,53.50004,-9.83456
The Paps West,52.01536,-9.27518
Knocknadobar,51.99309,-10.1751
Benleagh,52.98861,-6.45407
Croaghaun,53.9841,-10.1965
